Thrust (kgs),0,40,20,50,30,0,60
Start Time,1575,1770,1942,2065,2192,2301,2423
End Time,1769,1890,2057,2186,2300,2422,2543

Thrust (kgs),0,30,20,0,60,40,50
Start Time,1342,1519,1640,1754,1885,1999,2119
End Time,1518,1632,1753,1884,1994,2113,2239

Thrust (kgs),0,40,50,20,0,60,30
Start Time,797,995,1101,1220,1334,1456,1579
End Time,976,1093,1213,1333,1455,1573,1699

Thrust (kgs),0,0,50,60,30,20,40
Start Time,1228,1408,1530,1655,1774,1896,2015
End Time,1408,1528,1647,1768,1888,2008,2135

Thrust (kgs),0,20,60,40,50,30,0
Start Time,387,566,688,808,928,1048,1165
End Time,565,682,802,922,1042,1164,1285

Thrust (kgs),0,20,0,50,40,30,60
Start Time,535,717,837,956,1080,1205,1320
End Time,716,836,955,1074,1200,1314,1440

Thrust (kgs),0,40,50,20,0,30,60
Start Time,1144,1324,1448,1574,1685,1805,1928
End Time,1323,1442,1568,1684,1804,1923,2048

Thrust (kgs),0,60,20,0,50,30,40
Start Time,524,703,828,950,1064,1194,1318
End Time,701,821,942,1063,1181,1302,1438

Thrust (kgs),0,20,0,50,30,40,60
Start Time,197,378,498,619,742,864,987
End Time,377,497,618,737,859,979,1107

Thrust (kgs),0,50,0,40,60,20,30
Start Time,327,507,626,746,872,1000,1112
End Time,506,625,745,864,989,1106,1232

Thrust (kgs),0,30,40,20,0,60,50
Start Time,703,885,1009,1130,1245,1365,1490
End Time,884,1003,1123,1243,1364,1484,1610

Thrust (kgs),0,50,60,30,0,40,20
Start Time,311,492,617,739,851,972,1100
End Time,491,611,731,850,971,1093,1220

Thrust (kgs),0,60,20,0,50,30,40
Start Time,1351,1533,1659,1773,1894,2019,2140
End Time,1531,1652,1773,1892,2012,2132,2260

Thrust (kgs),0,30,40,20,0,60,50
Start Time,814,999,1123,1243,1359,1479,1610
End Time,998,1118,1237,1358,1478,1604,1730

Thrust (kgs),0,50,60,30,0,40,20
Start Time,862,1041,1166,1285,1400,1521,1647
End Time,1039,1159,1279,1399,1520,1639,1767

Thrust (kgs),0,20,60,40,50,30,0
Start Time,1485,1671,1785,1906,2024,2150,2260
End Time,1670,1779,1888,2018,2144,2259,2380
